timestamp,PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE,POGAČARJEV TRG-TRŽNICA,KONGRESNI TRG-ŠUBIČEVA ULICA,CANKARJEVA UL.-NAMA,BREG,GRUDNOVO NABREŽJE-KARLOVŠKA C.,MIKLOŠIČEV PARK,BAVARSKI DVOR,TRG OF-KOLODVORSKA UL.,MASARYKOVA DDC,VILHARJEVA CESTA,PARK NAVJE-ŽELEZNA CESTA,TRG MDB,PARKIRIŠČE NUK 2-FF,AMBROŽEV TRG,GH ŠENTPETER-NJEGOŠEVA C.,ILIRSKA ULICA,TRŽAŠKA C.-ILIRIJA,TIVOLI,STARA CERKEV,KINO ŠIŠKA,ŠPICA,BARJANSKA C.-CENTER STAREJŠIH TRNOVO,ZALOŠKA C.-GRABLOVIČEVA C.,TRŽNICA MOSTE,ROŽNA DOLINA-ŠKRABČEVA UL.,DUNAJSKA C.-PS PETROL,PLEČNIKOV STADION,DUNAJSKA C.-PS MERCATOR,LIDL - VOJKOVA CESTA,ŠPORTNI CENTER STOŽICE,KOPRSKA ULICA,MERCATOR CENTER ŠIŠKA,CITYPARK,BTC CITY/DVORANA A,BTC CITY ATLANTIS,TRNOVO,P+R BARJE,P + R DOLGI MOST,BONIFACIJA,ANTONOV TRG,BRATOVŠEVA PLOŠČAD,BS4-STOŽICE,SAVSKO NASELJE 2-LINHARTOVA CESTA,SAVSKO NASELJE 1-ŠMARTINSKA CESTA,SITULA,ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA,HOFER-KAJUHOVA,BRODARJEV TRG,PREGLOV TRG,LIDL-LITIJSKA CESTA,ŽIVALSKI VRT,CESTA NA ROŽNIK,ŠMARTINSKI PARK,POLJANSKA-POTOČNIKOVA,SREDNJA FRIZERSKA ŠOLA,POVŠETOVA-GRABLOVIČEVA,TRŽNICA KOSEZE,LIDL BEŽIGRAD,MERCATOR MARKET - CELOVŠKA C. 163,RAKOVNIK,ALEJA - CELOVŠKA CESTA,IKEA,KOPALIŠČE KOLEZIJA,VIŠKO POLJE,KOSEŠKI BAJER,DRAVLJE,ČRNUČE,STUDENEC,POLJE,ZALOG,LIDL - RUDNIK,PRUŠNIKOVA,POVŠETOVA - KAJUHOVA,SOSESKA NOVO BRDO,TEHNOLOŠKI PARK,VOJKOVA - GASILSKA BRIGADA,GERBIČEVA - ŠPORTNI PARK SVOBODA,DOLENJSKA C. - STRELIŠČE,ROŠKA - STRELIŠKA,LEK - VEROVŠKOVA,VOKA - SLOVENČEVA,SUPERNOVA LJUBLJANA - RUDNIK
2022-08-04 23:24:00,10,0,0,12,20,13,0,1,17,0,2,14,1,3,6,1,2,8,7,11,8,6,3,11,5,2,0,8,3,15,25,1,0,0,0,9,6,2,8,6,5,2,19,10,18,4,18,11,12,12,14,1,10,4,14,4,11,1,1,16,20,14,16,3,2,3,5,5,10,4,12,3,12,4,12,2,2,9,8,1,18,2,8
2022-08-05 00:24:00,0,8,6,12,0,3,11,6,16,14,16,8,15,3,8,5,1,8,18,5,19,8,7,3,13,18,7,15,17,20,20,1,22,5,0,17,14,2,11,15,10,12,18,19,10,8,19,10,18,14,11,11,20,12,9,6,17,17,6,6,19,3,10,3,5,3,8,7,12,7,14,9,12,17,12,7,11,6,4,8,18,11,5
2022-08-08 04:58:00,0,0,0,12,20,7,0,0,17,0,0,3,0,3,14,2,0,8,7,7,7,15,14,3,19,4,1,10,18,19,12,3,22,19,5,2,14,2,8,12,9,8,8,13,18,4,18,12,9,18,5,7,20,0,10,0,9,4,3,11,14,1,15,5,18,3,2,14,11,16,9,5,12,9,12,8,6,6,8,20,18,9,0
2022-08-08 05:58:00,1,0,0,12,20,7,0,0,17,0,0,3,0,3,14,2,0,8,7,7,19,15,14,3,19,3,0,10,18,12,12,3,2,19,5,0,14,2,8,12,9,8,8,3,18,1,18,12,9,9,3,7,20,0,10,0,9,4,3,11,20,1,15,5,18,3,2,14,11,16,9,5,12,9,12,8,10,6,8,20,18,10,0
2022-08-11 21:13:00,1,1,1,18,20,9,0,1,17,1,1,14,2,0,6,0,2,8,15,11,8,7,0,11,5,2,0,8,7,15,25,3,13,0,6,1,13,2,8,5,13,5,19,3,18,5,18,7,8,10,10,1,10,4,14,4,11,7,1,16,20,14,0,3,5,3,5,5,8,5,7,1,12,12,16,2,3,9,8,1,18,2,3
2022-08-11 22:13:00,2,1,1,18,20,0,0,1,17,3,1,14,3,0,6,0,2,8,15,11,8,7,0,11,5,2,0,8,7,15,25,3,13,0,2,1,13,2,8,5,13,5,19,3,18,5,18,7,8,10,9,1,10,4,14,4,11,7,1,16,13,14,16,3,5,3,5,4,11,5,7,1,12,8,16,2,3,9,8,1,18,2,3
2022-08-16 07:10:00,0,0,4,12,20,0,0,5,17,0,0,14,5,0,6,2,0,8,15,0,4,4,4,3,11,2,8,8,4,16,20,6,0,3,0,4,14,2,6,6,9,2,8,2,10,2,8,7,10,19,9,0,18,0,6,6,11,6,9,12,20,14,12,12,9,3,2,5,12,9,13,6,12,14,12,5,10,6,8,14,18,7,2
2022-08-16 08:10:00,0,0,3,12,20,0,0,0,17,2,0,14,5,0,6,2,0,8,15,0,4,4,4,7,11,2,13,8,4,16,20,6,0,3,0,4,14,2,10,6,9,2,8,2,18,2,8,11,10,19,4,0,18,0,14,6,11,6,2,9,20,14,12,12,11,3,2,9,12,9,13,2,12,9,12,5,6,6,8,14,18,4,6
2022-08-18 17:30:00,1,0,1,12,20,0,10,1,16,5,0,14,2,0,11,1,5,8,15,11,8,7,6,11,4,2,0,8,7,11,25,5,0,1,1,9,6,17,10,2,13,3,19,4,18,5,16,11,10,12,4,1,10,4,14,3,11,5,0,16,3,14,4,14,4,12,2,12,10,4,13,3,12,8,12,6,4,9,8,1,18,3,3
2022-08-18 18:27:00,1,0,1,12,20,0,10,1,16,1,2,14,2,0,6,1,5,8,15,11,8,7,6,11,4,2,0,8,7,11,25,3,0,2,2,9,6,17,8,2,13,3,19,4,18,5,14,11,10,12,4,1,10,4,14,3,11,9,0,16,3,14,4,14,4,12,2,5,10,4,13,3,12,13,12,6,4,9,8,0,18,3,3
